"ID","BOVEN_ID","TOP_ID","GUID","INV","CODE","STUK_BESCHRIJVING","BOVENLIGGENDE_BESCHRIJVING","TOEGANG_BESCHRIJVING"
27644994,27644992,4566510,"609C5C2F17314642E0534701000A17FD","971.130","DB","130.  Staten met gegevens van de Dienst van Tractie en Materieel, 1938-1940, 1942-1943","Jaarstaten en jaaroverzichten van de Nederlandse Spoorwegen, 1937-1940, 1942-1943","971   Verzamelingen betreffende spoorwegen   "
27645451,27645448,4566510,"609C5C2F37564642E0534701000A17FD","971.526","EB","526.  Kaarten van het Nederlandse spoorwegnet, met aantekeningen, 1942, 1945, z.j.","1.2.1.1.2.5.2. Kaarten van het Spoor- en tramwegnet in Nederland","971   Verzamelingen betreffende spoorwegen   "
27645147,27645116,4566510,"609C5C2F23F64642E0534701000A17FD","971.262","EB","262.  Stukken over Duitse locomotieven in Nederland, waaronder correspondentie van de Nederlandse Spoorwegen, [ca. 1945-ca. 1947]","1.2.1.1.2.4.05.1. Locomotiefseries","971   Verzamelingen betreffende spoorwegen   "
27645246,27645230,4566510,"609C5C2F2A754642E0534701000A17FD","971.347","EB","347.  Locomotiefalbum van de Nederlandse Spoorwegen, 1945","1.2.1.1.2.4.09.2. Locomotieven","971   Verzamelingen betreffende spoorwegen   "
27645038,27645019,4566510,"609C5C2F1D704642E0534701000A17FD","971.168","EB","168.  Verkeersberichten met betrekking tot buitenlandse verbindingen van de Nederlandse Spoorwegen, 1943-1944, z.j.","1.2.1.1.2.3.1.1. Dienstregelingen","971   Verzamelingen betreffende spoorwegen   "
27645039,27645019,4566510,"609C5C2F1D714642E0534701000A17FD","971.169","EB","169.  Dienstregelingen van de Nederlandse Spoorwegen in Zuid- en Oost-Nederland, gedrukt, 1945","1.2.1.1.2.3.1.1. Dienstregelingen","971   Verzamelingen betreffende spoorwegen   "
27646877,27646854,4566510,"609C5C2F52FA4642E0534701000A17FD","971.1635","EB","1635.  Aantekeningen over locomotieven in Nederland en aan het westelijk front gedurende de Tweede Wereldoorlog, door H. Waldorp, ca. 1940-1945","2.2.4. Materieel en tractie","971   Verzamelingen betreffende spoorwegen   "
27645476,27645473,4566510,"609C5C2F3D734642E0534701000A17FD","971.547","EB","547.  Stukken over de lotgevallen van de dynamometerwagen van de Nederlandse Spoorwegen in de Tweede Wereldoorlog, 1941-1945","1.2.1.1.2.7. Eerste en Tweede Wereldoorlog","971   Verzamelingen betreffende spoorwegen   "
27645477,27645473,4566510,"609C5C2F3D744642E0534701000A17FD","971.548","EB","548.  Stukken over de rit Rotterdam-Keulen, 1943 sept.","1.2.1.1.2.7. Eerste en Tweede Wereldoorlog","971   Verzamelingen betreffende spoorwegen   "
27645482,27645473,4566510,"609C5C2F3D794642E0534701000A17FD","971.552","EB","552.  Stukken over de opsporing van materieel van de Nederlandse Spoorwegen in Duitsland, 1945","1.2.1.1.2.7. Eerste en Tweede Wereldoorlog","971   Verzamelingen betreffende spoorwegen   "
27645484,27645473,4566510,"609C5C2F3D7B4642E0534701000A17FD","971.554","EB","554.  Stukken over de herstellingen aan het materieel van de Nederlandse Spoorwegen na de Tweede Wereldoorlog, voornamelijk in de Werkplaats Haarlem, 1945-1946","1.2.1.1.2.7. Eerste en Tweede Wereldoorlog","971   Verzamelingen betreffende spoorwegen   "
27645487,27645473,4566510,"609C5C2F3D7E4642E0534701000A17FD","971.557","EB","557.  Stukken over de spoorwegen in Nederland, met kaart <I> Railways and waterways of Holland</I>, met detailtekeningen van de centra van Amsterdam, Rotterdam en Antwerpen, 1942, uitg. War Office, Geographical Section, General Staff no. 4183, 1949","1.2.1.1.2.7. Eerste en Tweede Wereldoorlog","971   Verzamelingen betreffende spoorwegen   "
959073,959056,959049,"609C5B9C8EB54642E0534701000A17FD","951.18","DB","18.  Nummers 1-200, 1937-1939","Dienstorders, 1919-1988","951   Nederlandse spoorwegen: dienstorders en reglementen   "
959074,959056,959049,"609C5B9C8EB64642E0534701000A17FD","951.19","DB","19.  Nummers 201-400, 1939-1941","Dienstorders, 1919-1988","951   Nederlandse spoorwegen: dienstorders en reglementen   "
959075,959056,959049,"609C5B9C8EB74642E0534701000A17FD","951.20","DB","20.  Nummers 401-600, 1941-1942","Dienstorders, 1919-1988","951   Nederlandse spoorwegen: dienstorders en reglementen   "
959076,959056,959049,"609C5B9C8EB84642E0534701000A17FD","951.21","DB","21.  Nummers 601-800, 1942-1946","Dienstorders, 1919-1988","951   Nederlandse spoorwegen: dienstorders en reglementen   "
965732,965725,964452,"609C5B9D003F4642E0534701000A17FD","958.1135","EB","1135.  Stukken betreffende de bestelling en levering van de herdenkingspenningen, 1945-1946","2.3.3. Herdenking van personeel","958   Nederlandse spoorwegen, algemene dienst afdeling 2 en dienst personeelszaken   "
965733,965725,964452,"609C5B9D00404642E0534701000A17FD","958.1136","EB","1136.  Stukken betreffende de behandeling van verklaringen omtrent verdienstelijk werk van personeel, 1945-1947","2.3.3. Herdenking van personeel","958   Nederlandse spoorwegen, algemene dienst afdeling 2 en dienst personeelszaken   "
965734,965725,964452,"609C5B9D00414642E0534701000A17FD","958.1137","EB","1137.  Notulen van de Gedenktekencommissie, 1945-1949","2.3.3. Herdenking van personeel","958   Nederlandse spoorwegen, algemene dienst afdeling 2 en dienst personeelszaken   "
965739,965725,964452,"609C5B9D00464642E0534701000A17FD","958.1141","EB","1141.  Lijsten met namen van de gevallenen, 1945 en z.j.","2.3.3. Herdenking van personeel","958   Nederlandse spoorwegen, algemene dienst afdeling 2 en dienst personeelszaken   "
965740,965725,964452,"609C5B9D00474642E0534701000A17FD","958.1142","EB","1142.  Kaarten met namen van de gevallenen die op de gedenkplaten worden vermeld, 1945 en z.j.","2.3.3. Herdenking van personeel","958   Nederlandse spoorwegen, algemene dienst afdeling 2 en dienst personeelszaken   "
